,Title,Location,Date,Link,Kitty Description
67,Free Cat with big heart seeking new home,N/A,Jan 26,https://vancouver.craigslist.org/van/pet/d/surrey-free-cat-with-big-heart-seeking/6804193626.html,"

QR Code Link to This Post


Hello!
This is Nona 3.5 years old she so Talented ( I  tought her a few things and she learn pretty fast ☺️) Nona loves cuddling and setting besides you keep your company, she love sleeping between arms or at least her body touch yours 😅😅💜

I had her when she 3 weeks old for my girlfriend but unfortunately we broke up and I found out I'm allergic to cats and my health is getting worse 😔
I can't keep her and I haven't brush her since September!! My ex always took care of her everyday but now I can't get close to her! I just want someone would love her as much I do and care about her and I'm sure she will care about you too!

She probably gonna be angry the first a few days because she got used to be at my place between my care!

It's gonna hurt when she leave but I'll feel better if she in good place!

I didn't want to take any money just want her to be in good place! 

Text 
show contact info
"
68,"Cat Condo, Litter Box, Travel Case", (Central Lonsdale),Jan 25,https://vancouver.craigslist.org/nvn/pet/d/north-vancouver-cat-condo-litter-box/6804131373.html,"

QR Code Link to This Post


We had a lovely cat a couple of years back and had to rehome him due to allergies.  We have a nice kitty condo, a cat-sized travel box, and a perfect condition litter box available for sale.

Cat Condo $50 (was $95 at Mr. Pets on Bewickle Ave)
Travel Case $25
Litter Box $25    "
69,Homemade Dog or Cat Window Bench - 125.00, (Its a dog or cats dream bench),Jan 25,https://vancouver.craigslist.org/bnc/pet/d/new-westminster-homemade-dog-or-cat/6804090589.html,"

QR Code Link to This Post


Homemade Dog or Cat Window Bench - $125.00   O.B.O. 

Perfect for your pet to be able to have a window seat to watch outside 

Holds up to 150 pounds

Top base is perfect size to place a nice quilted bed on top 

Beige carpeting 

Open hidden area to put all your pets toys and supplies 

Matt White finish with Black accents 

Length: 6 Ft

Height: 2 1/2 Ft

Width: 2 Ft    "
70,loST CAT IN SURREY,N/A,Jan 24,https://vancouver.craigslist.org/rds/pet/d/surrey-lost-cat-in-surrey/6803269191.html,"

QR Code Link to This Post


Missing cat since Jan 22    "
71,CAD$10 Sale - Cat Carrier, (Vancouver),Jan 23,https://vancouver.craigslist.org/van/pet/d/vancouver-cad10-sale-cat-carrier/6802511070.html,"

QR Code Link to This Post


My cat can no longer fit in this cat carrier since he eats so much and grows fast (12lbs tabby). 
Since this cat carrier is still in good condition, I would like to sell it to someone who needs it. This carrier is perfect for kittens. 
Please e-mail to arrange for pick-up. Preferred pick up location is Marine Drive Skytrain Station.    "
72,Missing black and white cat, (Panorama/surrey),Jan 23,https://vancouver.craigslist.org/rds/pet/d/surrey-missing-black-and-white-cat/6802298960.html,"

QR Code Link to This Post


Missing our boy tucker ! 
Went missing two weeks ago 
Have had Sightings from the last few days 64th King George area 
 Neutered male    "
73,Missing Cat, (Cloverdale),Jan 23,https://vancouver.craigslist.org/rds/pet/d/langley-missing-cat/6802150685.html,"

QR Code Link to This Post


Loved and missed: Black and White, long haired, adult female, 7  toes on each front paw.
Her name is/ was Mary.
Onced lived on a blueberry farm in Cloverdale. 
GREAT mouser !
If she is in a shelter or in need of a new home , please contact me.    "
74,Two adult cats need new home, (South Surrey),Jan 22,https://vancouver.craigslist.org/rds/pet/d/surrey-two-adult-cats-need-new-home/6783707442.html,"

QR Code Link to This Post


Two mostly indoor, friendly affectionate cats need new home due to toddler and new baby. These poor 8 and 9 year old cats have been refusing to come upstairs, are clearly depressed and need someone who will be able to give them some more time. We love these cats, they just will not come around the kids at all. Would consider separating them, but would prefer to keep them together. 
Happy to supply brand new litter box, large supply of food and two carrying cases.
"
75,2 cats brother and sister, (Coquitlam),Jan 22,https://vancouver.craigslist.org/rds/pet/d/coquitlam-2-cats-brother-and-sister/6801637900.html,"

QR Code Link to This Post


I am rehoming two of my cats, Optimus and Hero, to a good home.  Not asking a fee just that they go to a good home and stay together.  Circumstances has changed and I am taking in a family member unexpected.  They are about 8 and rescues, I've had them for 3 years.  The male (Optimus) is not good with dogs.  They are both extremely loving cats.  Both will curl up with you on the couch or sleep in the bed with you.    "
76,Looking for a free cat, (Richmond),Jan 22,https://vancouver.craigslist.org/rch/pet/d/richmond-looking-for-free-cat/6799328882.html,"

QR Code Link to This Post


Ive been wanting a larger animal like a cat or dog for years, we have carpet layed house so dogs wont be an option. Heres a little information about myself:

I am a highschool student living with my parents in a house in richmond. I have pet toys, food, treats, and other gadgets already bought now just waiting to find a kitten. I have experience with smaller animals like guinea pigs but cat is a first time. We can drive up to langley or mission, age of the cat wont matter.

I can only recieve calls after 3:30 because i have school. Thank you    "
77,wanted kitten to good home,N/A,Jan 22,https://vancouver.craigslist.org/van/pet/d/chilliwack-wanted-kitten-to-good-home/6801515409.html,"

QR Code Link to This Post


i am looking for a kitten with medium/long hair willing to pay adoption fee    "
78,Small cat or dog carrier $35, (fleetwood),Jan 22,https://vancouver.craigslist.org/rds/pet/d/surrey-small-cat-or-dog-carrier-35/6801119663.html,"

QR Code Link to This Post


Can be used for small dog or cat. Has built in pack back straps. Online price new is over $100. Good shape. Asking $35    "
79,Beautiful long haired cat - Georgie, (Vancouver),Jan 21,https://vancouver.craigslist.org/nvn/pet/d/vancouver-beautiful-long-haired-cat/6797556229.html,"

QR Code Link to This Post


Georgie Girl comes from a small northern BC community. She is spayed, about two years old. She was recently groomed because her long hair just needed a trim. That would be Georgie after grooming, orange background.

She is a loving, cuddly cat; loves to spend time with her human family. She does live with  other cats, dogs here at the rescue. I think she would do great in a home by herself. In the summer she has spent hours on the patio just enjoying the day. During the cooler days she prefers to be indoors.

We are a small animal rescue committed to rescues from BC Coastal communities and northern BC. Her re-homing fee is $150. Everyone is asked to complete an adoption application to make sure that our animals go to forever homes. Please email for the application.    "
80,Kitten for adoption,N/A,Jan 19,https://vancouver.craigslist.org/bnc/pet/d/vancouver-kitten-for-adoption/6799120835.html,"

QR Code Link to This Post


I have a one year old kitten for adoption as I'm moving. Preferred to a family home in Vancouver area. Please text with a brief intro of yourself and your living situation  show contact info
 and I'll call you back. Thanks!    "
